시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
SSP1-2.6,2052,24.4,33.8,126.8,8.9,296.2,61,48.5,40.8,59.9,37.2,28.8
SSP1-2.6,2053,19.3,36.3,132.6,8.3,295.5,62.7,44.2,32.3,71.1,37.1,29.3
SSP1-2.6,2054,14,21.5,123.6,8.5,255.9,54.3,36.9,26.6,54.9,35.8,28.6
SSP1-2.6,2055,23.1,41.6,136.4,8.3,267.2,77.3,61.1,37.7,77,38,30
SSP1-2.6,2056,22.2,37.5,129.6,8.5,276.5,65.6,50.9,32.2,70.2,36.9,28.8
SSP1-2.6,2057,32.7,36,137.9,8.6,268.4,74.3,50.8,42.5,60.9,40.2,29.8
SSP1-2.6,2058,28.5,35.3,134,8.6,265.5,79.5,61,39.6,73,37.6,30.1
SSP1-2.6,2059,11.5,11.6,119.1,8.8,272.8,65.1,43.2,20.4,62.1,35.5,27.2
SSP1-2.6,2060,14.2,15,140,9,255.3,68.6,38.7,17.5,64.6,36,26.9
SSP1-2.6,2061,21.4,29.1,131,8.6,300.8,66.6,50.8,38,63.9,36.6,28.9
SSP1-2.6,2062,10.3,22,129.8,8.4,283.6,57.1,29.4,20.5,67.9,35.2,28.6
SSP1-2.6,2063,39.7,48.6,146.6,8.9,275.1,89.1,75.3,55.8,79.2,38.3,29.9
SSP1-2.6,2064,37.9,44.3,135.9,8.6,274,86.1,71.7,47.9,82.6,37.5,28.6
SSP1-2.6,2065,23.2,27,140.9,8.5,290,75.4,54.2,26.2,59.8,37,28.3
SSP1-2.6,2066,27.6,42.4,141.4,8.3,295.2,81.7,63.5,45.9,75.5,37,29
SSP1-2.6,2067,17.3,19.3,131.3,8.4,281.4,66.6,50.3,30.5,63.6,36.1,29.1
SSP1-2.6,2068,12.2,29.2,132.6,8.6,271.3,51.8,35.5,22.8,58,35.5,28.3
SSP1-2.6,2069,20.6,35.3,130.2,8.6,274.3,74.2,48.4,32,70,38.1,28.9
SSP1-2.6,2070,18.1,34.1,134.6,8.6,265.2,70.6,55.7,28.6,60.8,36.3,28.3
SSP1-2.6,2071,22.2,32.4,138.8,8.7,280.2,63.2,49,33.5,67.7,36.3,28.5
SSP1-2.6,2072,10.9,12.9,133.1,8.8,272,63,35.9,20.9,54.6,35.2,27.5
SSP1-2.6,2073,7.7,25.1,129.8,8.4,266.8,55.9,33.9,21.9,65.6,35.1,28.3
SSP1-2.6,2074,19.7,32.6,138.3,8.4,293.4,72.1,48.4,30.1,70.2,36.6,29
SSP1-2.6,2075,22.2,33.2,139.4,8.5,280.9,75,61.5,38,71.9,37.3,29.2
SSP1-2.6,2076,46.4,53.3,155,8.7,273,94,77.3,65.3,81.9,38,29.3
SSP1-2.6,2077,40.2,42.7,146.1,8.9,288,92,77.2,45.5,82.4,37.6,28.8
SSP1-2.6,2078,21.3,31.7,137.7,8.6,279.1,72.5,48.2,30.9,69.3,36.5,28.2
SSP1-2.6,2079,22.9,32.9,133.5,8.7,295.1,73.8,52.9,32.6,72.2,36.8,28.8
SSP1-2.6,2080,25.3,24.7,136.5,8.8,275.3,78.4,61.1,36,74.7,37.4,28.4
SSP1-2.6,2081,28.7,39.5,135.8,8.7,280.6,77.4,64.8,37.2,77.1,38.3,28.9
SSP1-2.6,2082,19.2,26.1,130,8.5,291.8,69,48.6,30.5,62.5,36.8,28.5
SSP1-2.6,2083,29.8,32.1,141.8,8.5,276.7,76.3,53.9,30.9,72.1,38.5,30.3
SSP1-2.6,2084,36.4,42.9,137.9,8.9,304.5,88.2,69.9,51.5,74.3,37.5,29.2
SSP1-2.6,2085,20.8,29.7,133.7,8.6,258.7,76.5,57.9,37.2,70.3,35.7,28.3
SSP1-2.6,2086,34.1,42.8,138.6,8.7,290.3,82.4,66.6,41.2,67.3,38,29.4
SSP1-2.6,2087,21.1,42,133.8,8.7,261.4,71.7,50.4,38.7,67.4,36.2,28.3
SSP1-2.6,2088,14.5,25.2,138,8.7,272.7,69.2,41.1,20.9,61.1,36.3,28.8
SSP1-2.6,2089,26.7,38.7,142.8,8.4,297.6,81.5,56.5,39,79,38.5,30.4
SSP1-2.6,2090,32.8,57,138,8.3,298.7,89.2,68.1,51.3,83.3,37,29.6
SSP1-2.6,2091,22.8,27.5,138,8.8,299.2,79.1,61.8,44.5,70,36.8,28
SSP1-2.6,2092,33.2,45.5,131.6,8.4,265.4,76.7,61.4,42.3,75.4,37.5,29.5
SSP1-2.6,2093,21.1,25.9,123.1,8.3,299.3,61.9,44.7,32.9,72.9,36.1,27.6
SSP1-2.6,2094,31.2,34.8,143.1,8.9,302.4,87.2,66.9,41.8,72.2,37.9,29.3
SSP1-2.6,2095,12.2,22.4,128.2,8.5,311.9,61.1,42.5,26.1,60.9,35,28.1
SSP1-2.6,2096,17.6,21,135.8,8.9,263.1,69.6,46.3,23.7,61.4,36.8,28.3
SSP1-2.6,2097,20.6,25.4,146.2,8.5,291.6,77.2,53.4,29.8,67.1,37.1,28.5
SSP1-2.6,2098,27.7,26.9,144.5,8.8,292.1,89.1,65.6,39.6,70.2,36.8,27.8
SSP1-2.6,2099,31.2,31.7,134.2,8.9,274.1,81.4,64.1,39.9,69.3,37.9,29.1
SSP1-2.6,2100,21.5,27.3,136.9,8.5,298.6,73,51.4,43.2,71.3,36.3,28.4
SSP2-4.5,2021,3.7,4.2,102.2,8.4,256.5,25.5,10.4,10.8,27.1,34.4,25.8
SSP2-4.5,2022,14.8,21.3,128.4,8.6,265.7,51.6,34.8,23.3,53.2,37.4,28.2
SSP2-4.5,2023,22.9,28,120.3,8.7,282.8,60.2,43.5,29.6,59.4,37.3,28.8
SSP2-4.5,2024,9,14.9,124.7,8.6,267.2,50.4,33.9,21.2,49.3,34.5,27.6
SSP2-4.5,2025,10.5,21,124.2,8.5,264.5,53.8,36.1,21.5,55.4,35,27.9
SSP2-4.5,2026,13.5,9.6,127.6,8.7,274.7,60.9,40.9,17.6,56.6,35.1,27.2
SSP2-4.5,2027,22.5,23.2,132.6,8.7,286.4,66.4,41.2,23.3,65.9,37.8,28.4
SSP2-4.5,2028,16.4,16.4,121.2,8.9,273.5,60.8,43.3,28,56.5,35.9,27.3
SSP2-4.5,2029,15,28.3,131.4,8.7,271.1,68.3,51.1,24.9,65.7,36.8,28.1
SSP2-4.5,2030,24.2,37.8,138.2,8.6,282.9,68.9,49.8,40.7,68.6,36.9,28.9
SSP2-4.5,2031,23,34,127,8.5,256.6,60.3,43.1,35.5,61.7,36.8,28.5
SSP2-4.5,2032,21.9,21.8,128.1,8.9,276.5,69.9,50.5,37.3,61.3,36.6,27.9
SSP2-4.5,2033,21.9,35.1,122.3,8.5,284.6,69.3,54.5,36.7,72.8,36.6,28.8
SSP2-4.5,2034,24.1,19.2,121.3,8.7,275.9,60.7,48,27,54.1,37.9,27.9
SSP2-4.5,2035,5.8,14.4,117.5,8.1,271.5,46.1,21.5,13.3,58.4,35.6,27.5
SSP2-4.5,2036,18.3,35.4,122.3,8.2,277,56.7,43.4,26.7,65.9,36.9,28.2
SSP2-4.5,2037,20.8,30.2,130.2,8.5,267.6,69.8,45.7,28.6,63.9,36.9,29.4
SSP2-4.5,2038,21.8,28.7,134.1,8.8,279.7,72.8,50.9,30.6,61.2,36.6,29
SSP2-4.5,2039,17.3,29.1,122.8,8.5,277.8,66.9,45,28.5,64.3,36.6,28.8
SSP2-4.5,2040,19.5,35.8,132.9,8.8,253.6,72.3,49.2,34.5,65.4,37.8,28.7
SSP2-4.5,2041,29.2,37.2,135.6,8.8,270.9,82.8,66.4,39.6,71.1,38.3,30
SSP2-4.5,2042,18.5,28.3,137.8,8.4,290.1,63.1,46.6,30,65.5,35.8,28.1
SSP2-4.5,2043,28.4,39.9,133.2,8.6,280.8,77.5,59.5,36.7,74.8,37.4,28.8
SSP2-4.5,2044,20.7,32.7,132.5,8.6,268.9,59.1,44.4,29.1,60.8,37,28.7
SSP2-4.5,2045,14.3,22.4,131,8.6,281.4,60.1,38.6,21.7,62.6,36.1,27.5
SSP2-4.5,2046,29.4,39.8,140.8,8.4,298.8,78.7,65.2,44.6,81.9,37.3,29.3
SSP2-4.5,2047,25.3,36.7,129,8.5,283.1,64.8,44.8,39.3,69.3,38.6,29.8
SSP2-4.5,2048,14.5,24.9,131.3,8.3,313.8,62.8,42.2,22.8,59.7,35.6,28.1
SSP2-4.5,2049,24.6,39.3,135.2,8.6,258.9,81.4,60.5,39.7,72.3,37.9,30.5
SSP2-4.5,2050,20.9,39.9,136.7,8.5,267.9,76.4,63.9,39.2,76.1,36.9,28.9
SSP2-4.5,2051,32.1,39.2,142.3,8.7,286.9,83.4,59.1,48.9,69.1,39.4,30.5
SSP2-4.5,2052,14.2,37.9,137.7,8.4,285,75.4,55.4,37,75.9,35.6,29
SSP2-4.5,2053,23.5,32.9,138.6,8.6,284,75.7,56.3,31.5,71.5,37.6,28.7
SSP2-4.5,2054,23.3,33.3,137.9,8.8,254.3,74.6,53.9,28.6,64,36.7,28.6
SSP2-4.5,2055,27.3,35.4,136.8,8.4,309.1,81.7,59.4,35.1,80,36.8,29.3
SSP2-4.5,2056,34.3,46.3,135,8.5,287.1,79.4,65.4,51.7,76.3,37.5,29.6
SSP2-4.5,2057,20.5,36.4,139.5,8.6,264.1,74.2,56.9,38.2,69.7,35.8,28.3
SSP2-4.5,2058,40.9,38.1,148.1,8.9,282.3,91.5,69.7,50.6,77.7,38,30.1
SSP2-4.5,2059,24.4,36.1,144.7,8.3,303.6,79.3,66.2,31,78.6,36.6,28.8
SSP2-4.5,2060,32.5,29.6,139.8,8.8,263,82.4,62.6,37.9,72.7,38.4,30.1
SSP2-4.5,2061,48.1,58.8,148.5,8.6,280.3,96,81,63.5,82.5,40,31.1
