시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
SSP1-2.6,2053,61.4,48.5,166.2,11,302,68.3,49.6,29.2,71.4,42.3,29.2
SSP1-2.6,2054,40.1,31.1,150.4,10.7,288,46.4,20.1,16.6,54.4,39.3,29.5
SSP1-2.6,2055,45.4,51.7,159.5,10.1,286.8,52,30,17.8,78.5,39.6,29.1
SSP1-2.6,2056,56,42.6,163.2,10.9,305.4,61.9,43.6,24.6,69.3,43.8,29.8
SSP1-2.6,2057,60.9,34.6,166,10.9,277.4,66.8,45.6,30.9,54.5,43.9,29.7
SSP1-2.6,2058,56,39.7,160.5,10.5,303.4,63.7,40.5,21.5,65.3,40.9,30.3
SSP1-2.6,2059,33.6,22,148,11.1,277.2,40.2,13.9,8.2,50.4,38.6,29
SSP1-2.6,2060,40.5,22,162.4,10.8,282,48.1,16,8.1,57,39.8,28.2
SSP1-2.6,2061,50.2,40.4,168.3,11,312.8,56,35.1,24.7,62.3,40.7,29.5
SSP1-2.6,2062,38.6,30.5,164.4,10.5,304.5,46.3,25,14.5,57.6,39.3,29.4
SSP1-2.6,2063,77,49.4,175.6,11.7,284.3,83.3,60.2,41.9,70.1,44,30.8
SSP1-2.6,2064,71.6,42.1,169.5,11.2,281.9,79.4,57.6,29.4,73.6,41.9,29.1
SSP1-2.6,2065,54.4,25,165.6,10.9,304.6,61.5,30.2,17.6,54.1,39.4,28.8
SSP1-2.6,2066,50.5,40.7,163,10.6,308.5,57.2,34.5,21.5,66.5,40.5,29.8
SSP1-2.6,2067,45.1,29.6,163.1,10.6,286.6,51.7,27.1,14,63.7,39.5,29.4
SSP1-2.6,2068,42.9,38.4,155.2,10.7,286.2,48.6,26.4,14,56.5,39.7,29
SSP1-2.6,2069,51.8,46.4,157.4,10.7,294.8,59.1,34.1,19.9,69.4,39.6,29.6
SSP1-2.6,2070,51.2,35.6,166.2,11.1,280,56.9,32.6,20.3,55.8,41.1,29.9
SSP1-2.6,2071,48.2,38.1,173.4,11,291.8,54.5,30.7,17.7,68.4,39.3,28.7
SSP1-2.6,2072,35.3,19.6,160.9,11.1,282.5,43.2,16.1,8.6,51,39.4,28.3
SSP1-2.6,2073,45.1,39.9,163,10.6,283.1,51.6,30.3,15.9,65.2,40.2,29.5
SSP1-2.6,2074,63.7,41.3,169.2,10.9,334.2,71.8,44.3,30.1,66.7,42.5,30.4
SSP1-2.6,2075,50.6,32.6,166.6,10.7,306.9,56.9,29.2,12.8,60.4,40.4,29.1
SSP1-2.6,2076,78.4,48.3,170,11,274.1,86.1,56.9,36,72.6,40.2,29.6
SSP1-2.6,2077,75.3,42.8,163.3,11.2,293.4,81.6,53.4,27.9,73.5,41,29.2
SSP1-2.6,2078,52.5,38.6,163.8,11,304.8,58.9,38.6,18.5,63.4,41,29.2
SSP1-2.6,2079,55.8,41.4,165,11.2,330.6,61.9,37.1,15.5,68.7,41.3,30.1
SSP1-2.6,2080,47.1,31.1,167.6,10.8,280.9,55,28.8,14.6,61.2,39.4,28.7
SSP1-2.6,2081,63.2,46.9,169.2,11.6,288.8,71.8,47,27.2,71.5,42.5,30.3
SSP1-2.6,2082,58.4,31.8,170.2,11.1,314.8,64.1,45.4,16.4,55.8,41.5,29.4
SSP1-2.6,2083,55.9,40.7,170.7,10.7,305.2,64.6,38,29.9,68.4,40.6,30.3
SSP1-2.6,2084,66.4,49.6,169.3,11.1,335.6,75.2,47.2,28.2,79,40,29.1
SSP1-2.6,2085,56.9,37.8,166,11.2,273.6,63.8,38.5,13.8,63.7,39.9,29.1
SSP1-2.6,2086,68.3,44.5,172.2,11.3,305.8,74.7,51.2,19.1,63.4,42.7,29.9
SSP1-2.6,2087,60,44.6,155.3,11,283.6,67.3,47.2,23.5,65,40.3,29.5
SSP1-2.6,2088,53.5,30.8,158.6,11.3,298.9,60.7,29.1,16.7,54.7,40.9,29.4
SSP1-2.6,2089,55.1,44.9,165.8,10.5,308.1,62.5,34.4,27,73.4,41.2,30.6
SSP1-2.6,2090,74.3,62.7,166.7,10.7,318.2,80.7,57.1,34.5,85.1,40.8,30.3
SSP1-2.6,2091,55.6,32.8,172.3,11.3,322.4,63.8,37.5,19.8,62.4,41.4,29.1
SSP1-2.6,2092,78.7,57.9,169.3,11.1,277.6,85.5,65.2,27.2,82.5,41.7,30
SSP1-2.6,2093,46.8,32.7,163.3,10.7,308.3,55.8,21.5,11.4,65.7,38.8,28.3
SSP1-2.6,2094,58.9,39.1,163.3,10.9,310.7,65.6,39.2,28.8,72.3,40.2,29.4
SSP1-2.6,2095,44.7,31,159.5,10.8,329.6,50.7,24.5,11.2,56.2,39.8,29.8
SSP1-2.6,2096,42.4,24.1,156.2,11,307.3,48.6,21.2,11,49,39.6,29.3
SSP1-2.6,2097,55.7,33.5,171.4,10.9,321,63.5,36,16.6,61.3,39.7,28.9
SSP1-2.6,2098,60.8,35.7,169.9,10.8,306.1,68,39.9,18.3,62,41.8,28.9
SSP1-2.6,2099,72.5,36.7,165.7,11.8,300.1,80.6,61.3,31.1,63.9,41.8,29.1
SSP1-2.6,2100,53.7,35.9,155,10.5,311.2,62.2,33.1,15.6,66.7,38.6,29.4
SSP2-4.5,2021,16.1,7.8,128,10.5,282.3,19.4,5.5,7.4,23,38,27.4
SSP2-4.5,2022,48.6,27.8,150.5,11.2,283.1,54.5,30.8,21.1,50.6,39.8,29
SSP2-4.5,2023,50.7,33.7,149.4,11.4,291.6,55.6,36.8,28.4,57.5,42,29.1
SSP2-4.5,2024,43.8,26.5,147.1,11,278.6,48.8,26.5,13.5,49.4,40.6,28.4
SSP2-4.5,2025,45.3,34.2,159.7,11.1,291.3,51,26,16,55.5,40.3,29
SSP2-4.5,2026,35.4,15.7,152.8,11,301.3,42.7,8.4,8.7,44,38.3,27.9
SSP2-4.5,2027,49.1,32.4,160.8,10.9,291.3,56.8,27.9,19.5,64.4,39.6,28.6
SSP2-4.5,2028,52.1,23.1,162.1,11.7,292,58.2,30.3,15.5,52.6,42.2,27.8
SSP2-4.5,2029,55.1,37.2,155.7,11.3,305.4,62.7,39.1,13.4,56.3,41.1,29.1
SSP2-4.5,2030,55.2,44.6,157.8,10.9,306.2,61.5,36.1,24.5,67.6,40.4,29.1
SSP2-4.5,2031,57.1,47.7,163.8,11.1,264.6,63.7,39.4,21.2,65.2,39.8,29.3
SSP2-4.5,2032,56.9,22.2,161.1,11.7,283.7,63.8,37.7,24.3,49.5,40.4,28.5
SSP2-4.5,2033,53.7,47.9,148.5,10.5,308.2,61.5,35.6,16.5,73.1,41,29.2
SSP2-4.5,2034,47.4,21.7,149.1,11.2,279,54.5,35.9,18.8,42.6,41.7,28.1
SSP2-4.5,2035,38.7,29.1,145,10.3,299.6,44.5,16.8,10.3,58.8,39,28.9
SSP2-4.5,2036,46.4,46.7,146.4,10.2,300.6,52.6,35.9,14.2,71.6,41.3,28.6
SSP2-4.5,2037,52,34.1,154.9,11.1,281.6,57.8,33.5,26.9,57.6,42.1,30.1
SSP2-4.5,2038,64.1,32.4,173.4,11.8,276.8,71.2,34.5,18.7,53.7,40.8,29.1
SSP2-4.5,2039,46.7,39.4,148,10.8,301,51.8,30.2,17.4,65,40.8,28.9
SSP2-4.5,2040,56.1,40.5,162.2,11.4,268,62.4,38.3,27.7,62.2,42.7,29.6
SSP2-4.5,2041,64.7,42.3,174.8,11.6,284.6,71.6,47.9,24.6,65.7,42.3,30.1
SSP2-4.5,2042,44.5,30.1,159.5,10.7,331.8,51.8,25.6,14,59.3,38.4,28.2
SSP2-4.5,2043,68,51.3,158.4,11.1,289.6,74.9,52.5,21.3,71,42.4,29.8
SSP2-4.5,2044,50.9,40.1,159.7,11.1,280.6,56.8,36,22.5,63.8,41,29.4
SSP2-4.5,2045,49.5,37.4,162.5,10.8,305,56.7,33.8,18.1,65.5,40.2,29.4
SSP2-4.5,2046,59.6,48.3,165.2,10.7,331,68.3,46,31.3,72.9,40.1,29.3
SSP2-4.5,2047,58,45.7,156.9,10.8,300.8,65.1,39.9,25.8,66.9,42.9,29.7
SSP2-4.5,2048,49.8,31.5,159,10.8,321.1,56.5,33.4,18,54.4,40.5,29.1
SSP2-4.5,2049,60.6,45.2,156.4,10.8,287.5,68.2,39.5,33.7,70.4,42.4,30.3
SSP2-4.5,2050,60.5,49.2,158,10.9,294.3,65.9,42.9,22.7,74.9,42.1,29.6
SSP2-4.5,2051,65.2,41.1,173.7,11.4,323.7,71,44.8,37.9,61.7,43.7,31.4
SSP2-4.5,2052,58.6,47.1,158.2,11,299.3,67.3,41.9,28.5,69.5,39.6,30.2
SSP2-4.5,2053,57.9,41,175.2,11,294.9,65.7,41,15.4,69.6,40,29.8
SSP2-4.5,2054,52.3,39.3,154.2,11,290.6,59.4,27.1,19.2,59.5,39.7,29.4
SSP2-4.5,2055,54.8,49.7,165.9,10.7,331.6,60.4,41.2,29.7,73.9,41.3,30.5
SSP2-4.5,2056,58.2,54.6,160.3,10.6,305.7,64.6,46.7,34.8,76.2,40.8,29.4
SSP2-4.5,2057,58.6,45.8,168.6,11.2,273.7,66.6,40.3,20.8,68.6,41,29.4
SSP2-4.5,2058,69.4,43.8,171,11.1,302.3,77.8,50.1,34.2,69.1,41.9,30.7
SSP2-4.5,2059,59.5,46.2,170,10.4,337.9,67.2,37.5,15,75.1,39.9,29.4
SSP2-4.5,2060,56.7,31.5,173.7,11.4,283.4,63.5,32.2,24.2,63.7,42.7,30.5
SSP2-4.5,2061,84.6,61.1,174.6,11.2,297.4,91.6,68.1,30.4,82,42.4,30.4
