시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
SSP1-2.6,2052,21.8,39.9,133.9,8.4,337.6,60.1,46.1,39.4,64.2,36.7,28.7
SSP1-2.6,2053,28.1,49.2,139,8,329.1,73.5,56.2,44.4,75.2,37,29.4
SSP1-2.6,2054,13.2,31.5,125.1,7.9,322.9,48.7,32.3,31.3,51.5,36.1,28.5
SSP1-2.6,2055,16.7,50.3,136,7.6,303.5,71.2,51.3,40.1,79.5,35.6,29
SSP1-2.6,2056,25.6,48.7,135,7.9,341,68.9,55.9,39.5,72.2,37,29.4
SSP1-2.6,2057,30,39.5,137.4,7.8,303.4,67.6,48.7,46.2,57.6,38.2,29.8
SSP1-2.6,2058,20.2,42,131.8,7.7,320,66.9,52.4,41.3,67.1,36.5,29.8
SSP1-2.6,2059,5.9,18.6,125.1,8.1,299.3,52,28.3,13.5,55.1,34.5,27.9
SSP1-2.6,2060,8.9,17.4,140.7,7.9,308.7,58.1,32.8,12.7,59.9,35.6,26.8
SSP1-2.6,2061,21.9,43.9,138.7,7.9,325,64.9,54.9,42.7,63,36.7,29
SSP1-2.6,2062,13.8,29.1,138.2,7.8,352.5,56.5,37.8,31.6,63.2,36.1,28.9
SSP1-2.6,2063,41.7,55,147.5,8.3,328.8,87.8,75.9,66.2,74.2,38.6,29.3
SSP1-2.6,2064,23.2,45,143.4,7.9,314.9,80,64,40.2,81.5,36.5,28.7
SSP1-2.6,2065,16.7,27.9,140.1,7.9,333.3,56,40.2,29.4,56.7,35.6,28.7
SSP1-2.6,2066,18.7,41.7,141,7.7,332.7,61.6,49.7,41.3,59.7,35.6,29
SSP1-2.6,2067,14.5,29.2,138.8,7.8,296.3,58.5,34.9,26.8,62,35.9,29
SSP1-2.6,2068,12.7,33.6,129.8,7.8,308.1,55.1,42.3,25.7,54.8,35.4,28.3
SSP1-2.6,2069,18.7,44.7,138.5,7.9,318.3,65,40.7,35.4,69.1,35.9,29.1
SSP1-2.6,2070,18.3,38.4,136.4,8,312.4,58.9,45.6,30.2,58.3,38.2,29.2
SSP1-2.6,2071,16.3,43.9,144.7,8,305,66.2,50.3,38.2,66.1,35.6,28.1
SSP1-2.6,2072,6.8,18,139.3,8.1,323.5,45.9,24.6,14.2,48.1,34.6,27.8
SSP1-2.6,2073,18.6,39.5,134.4,7.7,315.1,62.8,43.2,25.6,68.3,35.4,29.1
SSP1-2.6,2074,26.8,43,146.4,7.9,349.5,73.6,52,46.4,71.7,37.5,29
SSP1-2.6,2075,16.3,32.8,138.9,7.7,334.3,63.2,41.9,31.5,62,35.8,28.3
SSP1-2.6,2076,36.1,55.3,156.6,7.9,302.1,84.8,63.7,54.1,81.5,36.3,29.5
SSP1-2.6,2077,25.9,53.1,140.4,8,327.8,86,69.4,57.7,80.2,37,28.5
SSP1-2.6,2078,19,40.4,138,8,317.5,65.7,48.8,38.9,66.9,35.9,28.3
SSP1-2.6,2079,21.6,41.4,143.2,8.1,346.5,68.4,51.3,32.6,69.9,36.5,29.2
SSP1-2.6,2080,11.7,28.9,141.3,7.8,302.3,58.8,38.8,28.1,71.6,35.1,27.7
SSP1-2.6,2081,25.2,46.5,140,8.3,322.3,74.2,61.5,45.1,75.7,37.1,29.4
SSP1-2.6,2082,21.3,34.1,139.4,7.9,330.3,61.5,47.7,31,57.7,36.8,28.7
SSP1-2.6,2083,28.1,45.2,149.6,7.7,339,72.4,58.3,43.7,73.9,37,30.2
SSP1-2.6,2084,23.5,53.2,148.3,8,364.8,80.8,63.6,51.7,76,35.4,28.5
SSP1-2.6,2085,15.4,39.1,143.3,8.1,295.1,71.7,51.1,29.6,71,35.5,28.4
SSP1-2.6,2086,29.4,47.3,149,8,327.5,69.4,52.3,41,67.8,37.8,29.3
SSP1-2.6,2087,21.4,48.8,136.6,8,317.3,68.4,56.9,50.8,66.8,35.5,28.6
SSP1-2.6,2088,18.5,34.4,136.5,8.2,327,67.6,42,26.9,59.4,36.5,28.4
SSP1-2.6,2089,32.5,50.9,144.7,7.7,326.4,72.9,60.4,50.6,73.9,37.8,30
SSP1-2.6,2090,39.5,65.7,143.2,7.8,337.5,85.1,67.9,57.8,88.2,36.9,29.6
SSP1-2.6,2091,15.3,31.7,149.3,8,339.1,69.5,49.1,24.2,68.3,35.6,28.7
SSP1-2.6,2092,32.8,58.8,146.8,8,307.8,84,66.7,49.7,80.3,36.6,29.4
SSP1-2.6,2093,10.3,33.4,142.4,7.9,327,64.9,45.4,27.2,70,34.6,27.4
SSP1-2.6,2094,23,43.6,145.7,7.7,320.9,67.8,52.8,42.7,73.8,36.5,28.9
SSP1-2.6,2095,15.8,28.9,132.1,7.7,343.9,53.5,37.2,24.5,56.6,36.3,28.6
SSP1-2.6,2096,8.1,20,130.3,7.8,332.9,46.5,23.8,16.8,47,34.8,28
SSP1-2.6,2097,15.1,34.5,151.1,7.8,346.4,70.3,46.6,32.9,68.7,35.7,28.2
SSP1-2.6,2098,18.2,37.6,145.1,7.9,347.4,71.1,51.6,36.8,68.3,36,28.3
SSP1-2.6,2099,26.2,39.5,139.9,8.3,336.2,78.1,60.2,46,70.9,37.6,28.7
SSP1-2.6,2100,17.2,43.4,138.7,7.7,337.1,73.1,52.8,37.2,72,35.9,28.2
SSP2-4.5,2021,3,6.3,92.1,7.8,298.6,21.9,9.3,10.6,23.9,33.8,26.4
SSP2-4.5,2022,16.2,31.4,124.3,8,310.9,56.2,42.7,30.6,56.3,35.8,28.6
SSP2-4.5,2023,22.6,37.8,120.1,8,318.3,56,45.5,38.7,58.6,37.4,28.8
SSP2-4.5,2024,14.2,27.1,115.7,7.8,309.1,50.7,36.6,23.2,50.8,36.2,28.1
SSP2-4.5,2025,15.2,34.7,131.8,8.1,315.4,57.6,44,30.1,52.3,35.5,28.6
SSP2-4.5,2026,4.7,14,123.1,8,334.3,44.8,22.5,12.4,49.7,35.4,27.3
SSP2-4.5,2027,13.5,36.5,137.5,7.8,302.2,65.6,46.4,38.9,67.1,35.2,28.2
SSP2-4.5,2028,14.1,21.7,127.7,8.4,313.5,57.7,42.2,23.1,57,36.5,27.2
SSP2-4.5,2029,15.9,35.7,129.5,8.1,329.3,66.7,54.6,36.1,61.2,36,28.2
SSP2-4.5,2030,23.7,49,137,7.8,330,67.1,52.8,40.3,73.8,36.6,28.5
SSP2-4.5,2031,16.2,47.9,136.5,8,280.3,64.3,53.3,40.8,67.1,35.5,28.4
SSP2-4.5,2032,13.2,23.1,136.3,8.2,303.7,53.1,37.3,28.1,51.3,35.8,27.9
SSP2-4.5,2033,17.6,47.5,129.6,7.8,335.9,69.6,55.3,37.9,73.1,35.9,28.4
SSP2-4.5,2034,13.9,22.5,125.1,8,296.2,56,41,25.5,50.7,36.1,27.3
SSP2-4.5,2035,12,27.3,127.2,7.7,309.9,56.2,35.4,20.9,59.5,35.7,28.3
SSP2-4.5,2036,20.8,47.2,123.8,7.6,317.1,61.5,52.5,33.8,70.3,35.8,28.7
SSP2-4.5,2037,25.2,38.6,129.9,7.9,309.6,61.8,42.6,37,62.9,37.7,30.1
SSP2-4.5,2038,20,34.9,141.9,8.3,314.4,68.4,52.4,34.9,56.2,37.2,28.5
SSP2-4.5,2039,17.2,42.1,125,7.7,316.7,62.5,50.4,31.7,68.2,36,28.5
SSP2-4.5,2040,21.6,41.8,130.6,8.1,296.7,61.6,41.6,36.3,65.7,37.9,28.8
SSP2-4.5,2041,27.9,46.6,146.4,8.3,314.3,70.5,51.8,40.7,69.9,37.5,29.7
SSP2-4.5,2042,12.4,30.4,138.8,7.8,353.7,61.8,43.8,35.6,61.1,34.9,27.9
SSP2-4.5,2043,26.8,55.6,138.2,8,295.4,78.4,67.4,51.6,75.6,36.7,28.5
SSP2-4.5,2044,25.6,41.6,133.6,8.1,333.3,61,47.8,38.4,66,36.7,28.9
SSP2-4.5,2045,15.2,36.4,139.1,7.9,341.2,60.6,44.2,29.7,65.8,35.9,28.5
SSP2-4.5,2046,29.2,51.2,148.5,7.9,348.5,77.6,61.4,43.6,76.2,37.5,29.4
SSP2-4.5,2047,24.2,42.1,131.2,7.8,317.1,67.5,51,39.4,64.4,36.1,28.8
SSP2-4.5,2048,15.5,30.1,131.5,7.8,332.6,51.8,34.6,26.9,53.1,36.1,28.8
SSP2-4.5,2049,30.8,46.9,140.3,8,318.2,72.8,49.6,44,75,37.6,29.8
SSP2-4.5,2050,34.7,52.3,137.3,8,322.5,76.7,64.7,44.2,78.7,38.3,29.4
SSP2-4.5,2051,34,44.3,147.7,8.2,350.8,72.6,58.2,50.1,62.2,38.9,30.6
SSP2-4.5,2052,25,51.9,134.3,7.9,330.3,77.9,62.5,44.7,75.2,36.9,29.4
SSP2-4.5,2053,17.5,42.7,151,7.9,314.9,72.8,50.9,29.6,75.1,35.5,28.8
SSP2-4.5,2054,12.6,36,137.9,8.1,335.4,60.1,36,31,58.4,35,28.4
