시나리오,연도,폭염일수,열대야일수,여름일수,일교차,식물성장기간,온난일,온난일계속기간,최대온난일계속기간,온난야,일최고기온연최대,일최저기온연최대
SSP1-2.6,2053,32.3,40.8,140.6,9.1,322.9,74.5,55.8,44.1,76.7,38,28.4
SSP1-2.6,2054,13.2,26.3,125.9,8.9,314.4,46.6,28.1,26.9,54.4,36.3,28.1
SSP1-2.6,2055,17.6,42.1,138.3,8.5,300.4,64.6,45.1,35.2,83.5,36.1,28.4
SSP1-2.6,2056,25.9,38,136.4,8.8,336,66.4,52,36.9,73.1,37.5,28.6
SSP1-2.6,2057,32.3,32.2,140.3,8.8,296.9,66.6,46.9,44.9,58.4,39.1,29
SSP1-2.6,2058,20.3,33.8,135.6,8.6,317.3,62.1,45.7,30.9,69.2,36.5,29.3
SSP1-2.6,2059,7.3,13.3,128.4,9.2,295.7,39.8,10.3,7.4,56.1,35.4,27.5
SSP1-2.6,2060,11.3,10.4,141,8.8,302.1,47.9,18.5,8.8,59.8,36.6,26.5
SSP1-2.6,2061,22.1,35.8,141.7,8.9,322.8,60.5,44.9,37.8,64.4,37.9,28.4
SSP1-2.6,2062,15.1,22.1,143.8,8.8,346.1,53.4,32.6,24.6,64.5,37.2,28.5
SSP1-2.6,2063,41.6,42.3,149.8,9.3,321.2,83.7,67.6,55.6,74.7,40.1,29.1
SSP1-2.6,2064,25.8,29.7,144.5,9,310.1,79.6,59.8,38.8,79.9,37,28.1
SSP1-2.6,2065,20.2,21.6,140.5,8.9,329.6,53.9,34.4,25.6,58,36.7,28
SSP1-2.6,2066,21.2,35.9,143.3,8.6,327,57,44.8,34.9,63.2,36.6,28.7
SSP1-2.6,2067,16.3,21.6,141.4,8.8,292.2,50.9,27.4,19,63.9,36.8,28.5
SSP1-2.6,2068,16.9,26,130.8,8.9,299.6,54.6,40.3,20.7,57.8,36.6,28.2
SSP1-2.6,2069,19.6,38,139.5,8.8,315.2,60.2,37.9,32.9,70.4,36.7,28.6
SSP1-2.6,2070,20.4,30.6,136.7,9.1,306.9,57.2,42.8,29.5,60.2,38.6,28.5
SSP1-2.6,2071,16.8,33.3,144.9,8.9,304.4,61.8,43.9,31.3,68.3,37.5,27.7
SSP1-2.6,2072,9.2,13.9,139.8,9.1,314.4,39,18.4,10.2,51,35.7,27.4
SSP1-2.6,2073,22.9,33.5,135.4,8.7,308.2,58.6,39.7,23.8,68.8,36.4,28.7
SSP1-2.6,2074,29.5,32.7,148.8,8.9,345.2,72.6,49.9,40.9,73.9,38.6,28.8
SSP1-2.6,2075,17.9,25.1,138.5,8.6,331,58.7,38.1,29,62.8,36.9,28
SSP1-2.6,2076,36.6,46.5,156.4,8.9,294.2,83.7,63,50,81,37.1,28.9
SSP1-2.6,2077,24.6,39.1,140.2,9,321.2,81.7,64.7,47.9,80.3,37.2,28.1
SSP1-2.6,2078,22.8,30.1,139.2,9,315.9,60.6,43.8,33.8,69.7,37.5,28.2
SSP1-2.6,2079,22.9,33.5,142.3,9.1,342.7,66,44.3,24.5,71.7,36.8,28.9
SSP1-2.6,2080,10.5,21.2,144.9,8.8,294.6,52,27.6,15.8,72.2,35.6,27.2
SSP1-2.6,2081,30,37.8,142,9.4,313,71.8,55.6,36.6,77.9,38.1,29
SSP1-2.6,2082,24.4,25.4,142.3,9,328.1,58.1,45.1,25.2,57.3,38,28.1
SSP1-2.6,2083,29.3,36.7,151,8.6,327.6,68.6,51.1,40.6,74.6,37.6,29.5
SSP1-2.6,2084,23.9,45.2,149.2,8.9,361.3,79.7,57.2,48.2,79.1,36.7,28
SSP1-2.6,2085,19.6,29.6,143.9,9.2,291.2,63.3,46.3,20.2,72.2,36.8,28.1
